GSM1337304,GSM1337305,GSM1337306,GSM1337307,GSM1337308,GSM1337309,GSM1337310,GSM1337311,GSM1337312,GSM1337313,GSM1337314,GSM1337315,GSM1337316,GSM1337317,GSM1337318,GSM1337319,GSM1337320,GSM1337321,GSM1337322,GSM1337323,GSM1337324,GSM1337325,GSM1337326,GSM1337327,GSM1337328,GSM1337329,GSM1337330,GSM1337331,GSM1337332,GSM1337333,GSM1337334,GSM1337335,GSM1337336
455.2,380.9,1045.9,267.2,403.2,300.7,458.9,474.2,461.8,491,496.4,535.5,533.5,461.1,451.4,346.9,424.3,443.8,400,460.6,447.3,363.8,518.9,639.4,436.6,532.3,447.1,498.4,355,497,668.9,559.7,739
130.5,164.6,179.7,230.9,172.6,111.1,155.1,199.1,128.1,158.9,159,138.8,285.5,124.2,188.9,244.5,247.3,259.6,112.7,128.4,100,186.7,86,200.7,194.9,166.4,255.9,279.4,245.6,389.2,287.1,172,100.8
385,607.4,216.3,432.9,416.1,175.7,301.2,446.7,473.6,449.5,216.5,294.5,397.5,374.3,157.8,204.7,236.4,279.6,744.1,328.5,489.9,697,681.6,218.8,231.7,409.1,163.4,185.9,261.3,237.2,217.1,230.7,632.3
696.6,1049.8,1069.1,1226.6,1107.5,937.9,891.7,841.3,1174.5,941.8,1028.1,1270.8,1502.4,1512.8,809.5,1181.4,958.2,931.9,559.8,1091,845.7,1295.6,1122.6,1518.3,1017.3,924,902.6,876.2,829.5,1102.1,1507.3,898.8,1213
27.9,38,54.1,60.5,58.9,33.4,57.6,39.8,40.6,52.2,106.9,44,92.1,69.9,18.9,45.6,52.1,18.4,60.4,133.2,81.1,41.6,46.9,340.2,412.7,38.8,61.1,34.5,93.4,42.4,190.3,135.5,371.5
651.7,722.1,531.1,247.6,318.1,286.8,641,827,907.1,679.5,688.9,539.3,625.2,704.9,370.6,641.1,785.4,767.9,763,794.3,639.3,584,706.4,536.7,521.9,541.2,698,576.8,432.2,609.8,472.9,590.3,766.4
101,78.7,96.6,80.3,95.2,99.2,62.1,94.1,120.2,159.1,106.1,119.2,132.9,111,66.1,110.5,55.4,91.5,108.3,68.7,110.3,106.3,134.3,140.5,81,65.3,68.3,103.4,84.9,75,117.9,86.7,111.2
85.6,13.6,35.6,34,15.2,98.4,80.9,55.4,102.5,14.3,57,34.2,20.9,86.7,44.9,49.3,8.2,15.4,5.7,15.8,47.3,28.7,42.1,22.5,74.8,14.7,53.9,56.2,37,19.6,70,54.7,68.8
360.9,207.4,30.5,10,495.6,24.5,212,240.9,222.9,86.3,1450.1,241.8,1443.9,1157,201.4,1356.2,1251.8,2367.7,1453.1,1188.6,49,673.4,890.5,135,232.5,253,754,78.1,59.1,149,101.5,265.2,126.1
86.5,58.5,20.9,58.3,36,53,42.3,91.1,80,74.4,63.2,63.9,48.5,47.3,24.5,36.8,43.7,51.8,76,38.8,58.7,57.6,64.9,55.6,30.8,42,41.7,41.1,33.4,25.1,60.2,25.9,73.8
103.7,32.8,78.2,26.9,59.3,28,167.3,95.6,117.1,59.1,28.9,113.6,155.2,89.2,105.6,108.3,97.6,117.8,64.7,137.8,135.1,79.8,231.5,146.6,88.4,90.1,77.9,29.3,49.8,81.6,105.4,499.6,101.3
